scala/collection/immutable/Map::flatMap(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/util/Settings0::allKeys,5
scala/collection/immutable/Set$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/transform/patmat/Logic$PropositionalLogic::negationNormalFormNot$1,3385
scala/collection/immutable/Nil$::$colon$colon(Ljava/lang/Object;)Lscala/collection/immutable/List; from sbt/internal/Load$::$anonfun$loadUnit$1,2
scala/collection/immutable/$colon$colon::head()Ljava/lang/Object; from scala/tools/nsc/transform/Delambdafy$ThisReferringMethodsTraverser::traverse,2427
scala/collection/immutable/List::nonEmpty()Z from scala/tools/nsc/transform/SpecializeTypes::scala$tools$nsc$transform$SpecializeTypes$$unify,275
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/typechecker/ContextErrors$InferencerContextErrors::allTypes$1,8
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/transform/Constructors$OmittablesHelper$detectUsages$2$::bodyOfOuterAccessor$lzycompute,493
scala/collection/immutable/List::last()Ljava/lang/Object; from scala/tools/nsc/transform/UnCurry$UnCurryTransformer::transformArgs,518
scala/collection/Seq::length()I from xsbt/api/Discovery$::isParameterized,1
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/transform/patmat/Solving$Solver::scala$tools$nsc$transform$patmat$Solving$Solver$$projectToModel,988
scala/collection/TraversableLike::newBuilder()Lscala/collection/mutable/Builder; from org/apache/ivy/core/RelativeUrlResolver::partition,4
scala/collection/Seq::flatMap(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/librarymanagement/CustomPomParser$::hash,7
scala/collection/immutable/Set::toList()Lscala/collection/immutable/List; from scala/tools/nsc/transform/patmat/TreeAndTypeAnalysis$CheckableTreeAndTypeAnalysis::enumerateChildren$1,887
scala/collection/mutable/Builder::$plus$eq(Ljava/lang/Object;)Lscala/collection/mutable/Builder; from sbt/internal/inc/schema/Type$Structure::mergeFrom,51
scala/collection/SeqLike::isEmpty()Z from scala/reflect/internal/Symbols$Symbol::filter,3921
scala/collection/SeqLike::distinct()Ljava/lang/Object; from sbt/internal/Load$::buildPluginClasspath,1
scala/collection/Iterable::filter(Lscala/Function1;)Ljava/lang/Object; from sbt/Execute::addNew,707
scala/collection/mutable/Buffer::exists(Lscala/Function1;)Z from scala/tools/nsc/transform/patmat/MatchAnalysis$MatchAnalyzer$CounterExample$::$anonfun$prune$1,7
scala/collection/immutable/Set$::empty()Lscala/collection/immutable/Set; from sbt/internal/PluginManagement$::apply,2
scala/collection/Seq::last()Ljava/lang/Object; from scala/reflect/internal/Trees::Block,293
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/typechecker/Macros::notifyUndetparamsAdded,554
scala/collection/immutable/List::isEmpty()Z from scala/tools/nsc/typechecker/Implicits$ImplicitSearch::typedImplicit1,962
scala/collection/mutable/ListBuffer::$plus$eq(Ljava/lang/Object;)Lscala/collection/mutable/ListBuffer; from scala/tools/nsc/transform/ExplicitOuter$ExplicitOuterTransformer::$anonfun$transform$2,353
scala/collection/immutable/List::distinct()Ljava/lang/Object; from scala/tools/nsc/backend/jvm/BCodeHelpers$BCForwardersGen::getExceptions,16695
scala/collection/mutable/ListBuffer::$plus$eq(Ljava/lang/Object;)Lscala/collection/mutable/ListBuffer; from scala/tools/nsc/transform/ExplicitOuter$ExplicitOuterTransformer::$anonfun$transform$3,4
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/reflect/internal/tpe/TypeMaps$SubstMap::subst,830048
scala/collection/immutable/$colon$colon::<init>(Ljava/lang/Object;Lscala/collection/immutable/List;)V from scala/reflect/internal/Trees$LabelDef$::apply,1311
scala/collection/immutable/Stream$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from sbt/internal/util/Settings0::get,3962
scala/collection/Seq$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from sbt/ScopeFilter$TaskKeyAll::$anonfun$all$3,18
scala/collection/mutable/HashMap::<init>()V from scala/tools/nsc/backend/ScalaPrimitives::<init>,2
scala/collection/mutable/TreeSet::$plus$eq(Ljava/lang/Object;)Lscala/collection/mutable/TreeSet; from scala/tools/nsc/transform/LambdaLift$LambdaLifter$$anon$2::traverse,2178
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/reflect/internal/Types::copyRefinedType,158
scala/collection/mutable/ArrayOps$ofRef::$plus$plus(Lscala/collection/GenTraversableOnce;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from xsbt/api/Discovery$::pathName,5770
scala/collection/mutable/HashMap::update(Ljava/lang/Object;Ljava/lang/Object;)V from scala/tools/nsc/transform/SpecializeTypes::mkAccessor$1,159
scala/collection/Iterator::zip(Lscala/collection/Iterator;)Lscala/collection/Iterator; from scala/reflect/internal/Trees$TreeContextApiImpl::correspondsStructure,50
